"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.0035,-0.1017,0.1092,0.407,0.655
"r.Robben.Island",0.192,0.0863,0.2991,0.29,0.867
"r.Boulders",0.2207,0.1091,0.331,0.644,0.247
"r.Stony.Point",0.2586,0.1507,0.3706,0.499,0.625
"r.Dyer.Island",-0.0285,-0.1335,0.0795,0.566,0.058
"r.St.Croix.Island",0.032,-0.0714,0.1394,0.932,0.13
"r.Bird.Island",0.0922,-0.0141,0.199,0.518,0.317
"r.Mercury",0.0785,-0.0331,0.1896,0.261,0.304
"r.Ichaboe",0.0431,-0.0675,0.1585,0.105,0.403
"r.Halifax",0.0831,-0.0248,0.194,0.851,0.788
"r.Possession",0.0902,-0.0221,0.2023,0.54,0.106
"sigma.proc",0.3285,0.2939,0.3636,0.78,0.086
