Year,JAP LL hist,TAI 1st,TAI 2nd,TAI 3rd,USA LL,USA Rec,VEN LL,VEN GIL,VEN Rec,BRA LL,BRA Rec,GHA GIL
1959,2.2214,,,,,,,,,,,
1960,1.9643,,,,,,,,,,,
1961,3.8207,,,,,,,,1.5929,,,
1962,3.4566,,,,,,,,2.4779,,,
1963,2.7775,,,,,,,,1.4159,,,
1964,1.7763,,,,,,,,1.0619,,,
1965,1.2162,,,,,,,,0.885,,,
1966,1.0052,,,,,,,,2.1239,,,
1967,0.9742,,,,,,,,1.4159,,,
1968,1.1762,2.9562,,,,,,,1.5929,,,
1969,1.2992,3.2502,,,,,,,1.7699,,,
1970,1.0482,2.2539,,,,,,,1.5929,,,
1971,0.6521,1.7966,,,,,,,0.531,,,
1972,0.7471,1.4373,,,,,,,0.354,,,
1973,0.5791,1.5516,,,,,,,0.354,,,
1974,0.9662,1.1269,,,,0.8388,,,0.531,,,
1975,0.6991,0.637,,,,0.883,,,0.177,,,
1976,0.4851,1.1596,,,,0.8094,,,0.177,,,
1977,0.5581,0.3103,,,,1.0007,,,0.177,,,
1978,0.5901,0.2777,,,,0.8241,,,0.177,0.6162,,
1979,0.6011,0.4246,,,,0.8094,,,0.354,1.2263,,
1980,0.7331,0.5553,,,,0.7652,,,0.531,0.9545,,
1981,0.6511,0.4736,,,,0.9418,,,1.0619,1.6311,,
1982,0.8271,0.4083,,,,0.7947,,,0.354,1.5767,,
1983,0.7411,0.2777,,,,0.7947,,,1.0619,2.3681,,
1984,0.8281,0.3103,,,,1.0007,,,1.7699,0.8397,,
1985,0.8732,0.245,,,,0.9713,,,0.885,0.447,,
1986,0.6051,0.3267,,,,0.9271,,,0.708,0.7974,,
1987,0.6631,0.5716,,,,0.9565,,,0.885,1.7458,,
1988,0.6401,0.8493,,,,0.8388,,,0.531,0.7793,,
1989,0.6741,0.8003,,,,0.8094,,,0.885,1.1659,,
1990,0.5241,,1.0292,,,0.7211,,,,0.4652,,
1991,0.3581,,0.5614,,,0.7947,2.2208,0.4175,0.708,0.6766,,
1992,0.3661,,0.8304,,,0.8535,1.1985,0.0891,0.885,0.7189,,
1993,0.4791,,1.0058,,1.261,0.9271,0.8108,0.6134,0.885,0.8337,,
1994,0.5031,,1.2865,,1.0983,1.0301,1.5158,1.2577,2.6549,0.5256,,
1995,0.4721,,1.2164,,1.1288,1.2067,1.3395,1.2336,3.1858,0.6706,,
1996,0.5131,,1.1111,,1.4746,1.1037,1.0928,0.8883,0.531,0.8639,1.9225,
1997,0.4591,,0.9591,,1.1695,1.0301,1.1633,1.1918,0.708,1.2444,1.3601,
1998,0.4751,,,1.9177,0.9051,0.9271,1.0928,1.638,0.354,0.9001,1.1964,
1999,,,,1.8924,1.1085,1.4569,0.7755,2.7724,0.354,0.9907,0.9203,
2000,,,,2.0186,1.0678,1.2361,1.0575,0.9854,0.885,1.3592,0.6851,1.7972
2001,,,,1.8672,0.5085,0.7799,0.7755,0.6991,1.4159,1.474,1.2271,2.4519
2002,,,,1.7158,0.8746,0.8682,0.7403,0.6489,,0.6283,0.8181,1.7306
2003,,,,1.2869,0.5898,0.6916,0.4583,0.7768,,0.2718,0.6851,1.2065
2004,,,,0.7317,0.7119,1.1184,0.3878,0.9372,,1.2022,0.3886,0.5
2005,,,,0.757,1.2203,1.1037,0.3878,0.8861,,1.027,0.2454,1.0204
2006,,,,0.8327,1.3424,1.5157,1.1633,1.1386,,,0.3068,0.6093
2007,,,,0.9336,1.139,1.1184,0.8813,1.3075,,,1.1658,0.4648
2008,,,,0.757,1.0983,1.0743,1.2338,1.0212,,,2.0043,0.1074
2009,,,,0.6056,1.1085,0.986,0.705,0.7156,,,0.1227,0.112
2010,,,,0.5551,0.9458,0.7652,,1.2002,,,1.3294,
2011,,,,0.5046,1.1797,1.1773,,0.6506,,,0.6954,
2012,,,,0.3785,1.0678,1.9425,,0.9309,,,1.7589,
2013,,,,0.6056,0.7424,1.1478,,,,,0.8181,
2014,,,,0.6812749,0.569491525,0.868240931,,,,,1.349838536,
2015,,,,0.454183267,0.966101695,1.486310746,,,,,,
2016,,,,0.504648074,0.722033898,1.103696099,,,,,,
