"Year","ICCAT"
1959,0.162555976713643
1960,0.155107822610672
1961,0.154551517853933
1962,0.156240622674702
1963,0.164731994097855
1964,0.176443354419537
1965,0.187518230260736
1966,0.19392871748557
1967,0.193666249240956
1968,0.188009643811595
1969,0.185876225113568
1970,0.185153522464313
1971,0.1836875914617
1972,0.185556294373359
1973,0.182527509353183
1974,0.183686955998069
1975,0.184848656012845
1976,0.188074549275403
1977,0.185363588203956
1978,0.181565823499215
1979,0.177609760639119
1980,0.172591666331886
1981,0.171294070649612
1982,0.169779172510678
1983,0.171138567008495
1984,0.167963016259642
1985,0.167142267909618
1986,0.169494299640502
1987,0.165442714268247
1988,0.159611165381525
1989,0.155041727126146
1990,0.157439457690368
1991,0.160273513029923
1992,0.163693074416115
1993,0.15757527588968
1994,0.151521815656757
1995,0.150052671247937
1996,0.146893027712586
1997,0.147980073441103
1998,0.152268650338034
1999,0.157375816567414
2000,0.160379811827928
2001,0.167826412181772
2002,0.168687839824806
2003,0.167811077693933
2004,0.177334780304403
2005,0.178174091999717
2006,0.181706041773769
2007,0.179342786969601
2008,0.188316599201163
2009,0.194679606392099
2010,0.198098894547281
2011,0.200456996036785
2012,0.204123571054664
2013,0.206784449155938
2014,0.206285392796383
2015,0.215524840360437
2016,0.219408700563977
