Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG,Angling
1991,3163.660261,,,,
1992,6021.172062,,,,
1993,3710.759021,,,,
1994,7926.290281,,,,
1995,3507.951039,,,,
1996,2269.19186,,,,195.0684034
1997,2325.720566,,,,196.4220075
1998,,,,,128.2353654
1999,2686.577039,,,,71.31431806
2000,,,,,239.7703942
2001,,,1013.08564,,139.1987266
2002,,,,,156.7239046
2003,3932.846294,,,1457.86939,227.0879523
2004,,947.1913464,,2196.581448,99.14915952
2005,,1449.111191,,,81.5290108
2006,1998.317042,,3278.852028,,286.0620694
2007,,1168.002148,,2488.891864,131.4433625
2008,,1177.470611,,2859.395098,201.5902171
2009,,1209.2673,,,311.249601
2010,2765.401096,,,,197.1594062
2011,,1946.953145,,,103.9795422
2012,,,,,66.9866329
2013,,,,,88.46372984
2014,,1354.057665,,,160.9228351
2015,,1570.714899,,,103.9398098
2016,,1631.342478,,3461.732932,90.4111076
2017,,,,,59.33309954
