Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG
1991,5804.799268,NA,NA,NA
1992,6293.386947,NA,NA,NA
1993,8237.705194,NA,NA,NA
1994,11716.97875,NA,NA,NA
1995,7048.543625,NA,NA,NA
1996,6278.73028,NA,NA,NA
1997,3591.052729,NA,NA,NA
1998,NA,NA,NA,NA
1999,3981.99217,NA,NA,NA
2000,NA,NA,NA,NA
2001,NA,NA,4259.916974,NA
2002,NA,NA,NA,NA
2003,5481.241397,NA,NA,3382.919355
2004,NA,3973.794526,NA,1765.984067
2005,NA,3394.37127,NA,NA
2006,4948.883932,NA,3801.678165,NA
2007,NA,961.7947949,NA,2835.169669
2008,NA,3516.785425,NA,1362.11961
2009,NA,4073.758339,NA,NA
2010,3795.540569,NA,NA,NA
2011,NA,5308.845463,NA,NA
2012,NA,NA,NA,NA
2013,NA,NA,NA,NA
2014,NA,2362.273266,NA,NA
2015,NA,3280.414024,NA,NA
2016,NA,3621.180775,NA,1119.628655
