Year,SC.Au.OG,SC.Au.NG,SC.Sp.OG,SC.Sp.NG,WC.Su.OG,WC.Su.NG
1991,8883.236659,NA,NA,NA,1732.522919,NA
1992,6268.662082,NA,NA,NA,2745.196852,NA
1993,9112.952607,NA,NA,NA,2426.296919,NA
1994,6203.403814,NA,NA,NA,3308.148114,NA
1995,8924.216162,NA,NA,NA,2512.894624,NA
1996,9894.420486,NA,NA,NA,2266.605597,NA
1997,7364.524532,NA,NA,NA,2617.592839,NA
1998,NA,NA,NA,NA,NA,NA
1999,9608.906152,NA,NA,NA,4394.703667,NA
2000,NA,NA,NA,NA,NA,NA
2001,NA,NA,6026.14366,NA,NA,NA
2002,NA,NA,NA,NA,1995.544221,NA
2003,6215.079896,NA,NA,3861.907812,2224.274292,NA
2004,NA,3985.906481,NA,3081.553366,NA,1123.634097
2005,NA,3937.266682,NA,NA,NA,1438.846134
2006,8819.101064,NA,6444.239243,NA,2131.506516,NA
2007,NA,3087.066185,NA,3716.504156,NA,926.6571511
2008,NA,4309.03161,NA,3768.609304,NA,1102.872665
2009,NA,5919.470008,NA,NA,NA,1341.679607
2010,5834.365949,NA,NA,NA,2816.936632,NA
2011,NA,4872.796642,NA,NA,NA,2030.171591
2012,NA,NA,NA,NA,NA,1704.252944
2013,NA,NA,NA,NA,NA,1084.367053
2014,NA,6430.013113,NA,NA,NA,1910.15224
2015,NA,5797.393506,NA,NA,NA,802.7351947
2016,NA,4932.228681,NA,4498.137873,NA,1179.627204
2017,NA,NA,NA,NA,NA,1276.00322
